start_time,end_time,speaker,text,Hypothesis_start_time,Hypothesis_end_time,Hypothesis_speaker,Hypothesis_text
2.5,6.16,SPEAKER_00,Donald Trump and Sarah Palin with an encore performance today.,0.008488964346349746,0.534804753820034,SPEAKER_03, Thank you.
6.2,11.54,SPEAKER_01,"Everybody wanted her endorsement. She said what you're doing, Donald, is amazing.",0.534804753820034,0.5687606112054331,SPEAKER_00, you
11.68,14.62,SPEAKER_00,The duo heading the campaign trail together in Oklahoma.,2.402376910016978,2.4193548387096775,SPEAKER_00, you
14.96,18.4,SPEAKER_01,"We have a movement going on folks, we have a movement.",2.4193548387096775,6.086587436332767,SPEAKER_03, Donald Trump and Sarah Palin with an encore performance today.
19.09,25.44,SPEAKER_01,"This is not, this is not a normal situation. People are sick and tired and fed up and yes, we're angry",6.086587436332767,18.548387096774192,SPEAKER_00, Everybody wanted her endorsement. She said what you're doing Donald is amazing. The duo hitting the campaign trail together in Oklahoma. We have a movement going on folks. We have a movement. This is not
26.13,27.19,SPEAKER_01,We are angry.,18.887945670628184,25.764006791171475,SPEAKER_00," This is not a normal situation. People are sick and tired and fed up and yes, we're angry."
28.32,32.56,SPEAKER_00,"Rallying supporters at the conservative Christian university, Oral Roberts.",25.967741935483872,27.13921901528014,SPEAKER_00, We are angry.
32.5,33.48,SPEAKER_02,And here we got.,28.191850594227503,32.58913412563667,SPEAKER_03, rallying supporters at the conservative Christian University or Roberts.
34.4,51.6,SPEAKER_02,"A red-head from the Big Red Apple running for President. And yet, the GOP machine all of a sudden, they're saying, we're not red enough. We're not conservative enough. And I say, what in the world do they know about conservatism?",32.80984719864176,33.488964346349746,SPEAKER_02, We got
51.98,63.67,SPEAKER_00,"Palin's support, a boost to Trump's conservative credentials. And a potential momentum killer for Ted Cruz, threatening to cut his main argument against Trump, that Trump is a closet liberal.",34.354838709677416,52.99660441426146,SPEAKER_02, a red head from the big red apple running for president and yet the GOP machine all of a sudden they're saying we're not red enough. We're not conservative enough and I say what in the world do they know about conservatism?
66.98,74.84,SPEAKER_00,"Trump flying solo this morning in Iowa, despite a campaign announcement that Palin would travel with the GOP frontrunner to both of today's events.",52.99660441426146,63.62478777589134,SPEAKER_03, a boost to Trump's conservative credentials and a potential momentum killer for Ted Cruz. Bretton to undercut his main argument against Trump. Trump is a closet liberal.
75.31,78.76,SPEAKER_01,Well how can you be running with a cloud over your head.,58.565365025466896,59.00679117147708,SPEAKER_02, Thank you.
